document_char_count,document_sentence_count,document_sentence_density,document_stopword_count,document_word_count,summary_char_count,summary_sentence_count,summary_sentence_density,summary_stopword_count,summary_word_count
88052,2181,0.09985806510690902,13270,21841,13612,207,0.05477639587192379,2037,3779
42209,400,0.0358487184083169,5319,11158,2427,62,0.11969111969111969,258,518
42067,950,0.0911970816933858,6187,10417,6836,104,0.05236656596173213,949,1986
52221,1033,0.08074097233078005,7691,12794,9132,109,0.041225416036308624,1344,2644
49739,1219,0.0963331752805437,7547,12654,8012,112,0.05107159142726858,1168,2193
52412,1420,0.10702441965631594,8115,13268,8596,136,0.05544231553200163,1229,2453
30017,273,0.03365799531500432,4439,8111,1977,20,0.05291005291005291,165,378
42649,689,0.05681537066050961,6548,12127,3669,35,0.048209366391184574,374,726
31630,328,0.03552859618717504,5000,9232,3529,29,0.038821954484605084,373,747
99034,2258,0.09180354529191738,14126,24596,9685,164,0.06184012066365008,1364,2652
30156,864,0.11407446527594402,4804,7574,4347,80,0.0639488409272582,676,1251
78356,1801,0.09284940970253132,11502,19397,12669,185,0.05368543238537435,1855,3446
30452,339,0.03848773841961853,4600,8808,1360,14,0.05223880597014925,117,268
60807,1577,0.10299111807732497,9135,15312,6260,105,0.060240963855421686,917,1743
33228,316,0.03458087108776538,4994,9138,916,10,0.05434782608695652,88,184
53742,1301,0.0959227309592273,8416,13563,9957,150,0.05179558011049724,1511,2896
24065,669,0.11133300049925113,3392,6009,8181,136,0.060741402411790976,1215,2239
59846,1362,0.09003172924378636,9033,15128,6422,105,0.06469500924214418,944,1623
65007,1564,0.09582746155260094,9926,16321,9166,121,0.047265625,1316,2560
25968,227,0.031215621562156216,3827,7272,1626,15,0.04261363636363636,180,352
57255,1543,0.10725705547059641,8513,14386,8958,140,0.05640612409347301,1218,2482
53661,1212,0.09030623649504507,8085,13421,5629,90,0.058823529411764705,798,1530
31909,301,0.032688966116420505,4914,9208,3004,34,0.05457463884430177,349,623
26059,433,0.05802733851514339,4154,7462,3339,35,0.051775147928994084,319,676
31103,326,0.036715846379096743,4779,8879,2993,27,0.05037313432835821,216,536
32823,412,0.04446363047701273,5014,9266,1740,17,0.04748603351955307,183,358
59528,787,0.045491329479768784,9134,17300,2771,26,0.052,198,500
35576,326,0.03393359009055897,5282,9607,1224,14,0.056451612903225805,123,248
67574,1873,0.11100574882949091,9686,16873,10616,166,0.0548397753551371,1512,3027
59370,1354,0.09045964724746125,9263,14968,8494,129,0.055151774262505344,1225,2339
29276,288,0.03461954561846376,4276,8319,1398,16,0.054982817869415807,142,291
27332,195,0.024677296886864084,4449,7902,3662,33,0.04285714285714286,377,770
17258,114,0.02346161761679358,2627,4859,1050,11,0.0514018691588785,102,214
37447,536,0.048279589263195824,5667,11102,2998,27,0.043689320388349516,332,618
64211,1812,0.11201780415430267,9506,16176,6380,90,0.0522344747533372,881,1723
42393,600,0.05020500376537528,6566,11951,3420,35,0.04888268156424581,374,716
65631,1511,0.09107896323086197,10069,16590,7713,146,0.06684981684981685,1163,2184
34179,268,0.02799540373968453,5035,9573,1367,13,0.04482758620689655,140,290
20774,166,0.02916373858046381,3234,5692,1317,15,0.05474452554744526,134,274
44649,571,0.045324654707096367,6688,12598,2873,22,0.04408817635270541,208,499
39217,374,0.03442245743212149,5674,10865,1028,11,0.05314009661835749,93,207
