document_char_count,document_sentence_count,document_sentence_density,document_stopword_count,document_word_count,summary_char_count,summary_sentence_count,summary_sentence_density,summary_stopword_count,summary_word_count
3704,29,0.042584434654919234,296,681,444,6,0.075,36,80
15008,187,0.056004791853848455,1836,3339,171,2,0.06451612903225806,12,31
13526,181,0.05797565663036515,1778,3122,298,3,0.05263157894736842,25,57
26541,274,0.046582794967698064,3113,5882,201,2,0.05,14,40
7244,91,0.05508474576271186,882,1652,242,3,0.058823529411764705,24,51
8271,79,0.04388888888888889,939,1800,328,3,0.046875,25,64
2025,18,0.0400890868596882,250,449,246,4,0.07692307692307693,27,52
7371,83,0.05161691542288557,823,1608,515,5,0.046296296296296294,54,108
9048,113,0.05934873949579832,992,1904,437,6,0.06741573033707865,41,89
13177,178,0.06180555555555556,1588,2880,188,3,0.07692307692307693,19,39
7929,57,0.03444108761329305,879,1655,519,8,0.07692307692307693,45,104
6804,101,0.06416772554002541,871,1574,260,2,0.047619047619047616,11,42
11202,119,0.048452768729641695,1347,2456,269,3,0.061224489795918366,24,49
6340,88,0.06390704429920116,777,1377,290,4,0.07017543859649122,24,57
5282,44,0.03849518810148731,652,1143,514,4,0.0392156862745098,46,102
11788,179,0.0667163622810287,1465,2683,241,3,0.06666666666666667,17,45
8554,88,0.044829342842587876,1096,1963,277,5,0.07692307692307693,36,65
3421,30,0.04665629860031104,304,643,400,7,0.08641975308641975,33,81
15351,231,0.06717068915382379,1969,3439,251,4,0.08163265306122448,20,49
10751,97,0.03983572895277208,1415,2435,322,4,0.06060606060606061,33,66
8934,95,0.05005268703898841,1019,1898,510,6,0.05217391304347826,62,115
6133,70,0.05368098159509203,647,1304,346,4,0.05555555555555555,30,72
8059,100,0.058997050147492625,914,1695,374,4,0.05,38,80
3438,27,0.04492512479201331,272,601,429,6,0.07894736842105263,26,76
9995,90,0.03821656050955414,1429,2355,311,3,0.05263157894736842,23,57
11050,129,0.05517536355859709,1308,2338,308,3,0.05454545454545454,23,55
3204,34,0.04871060171919771,374,698,266,4,0.0784313725490196,21,51
2356,37,0.06902985074626866,250,536,304,4,0.05970149253731343,31,67
3237,28,0.04451510333863275,286,629,476,6,0.06521739130434782,38,92
13939,228,0.07402597402597402,1626,3080,131,2,0.09090909090909091,7,22
16015,148,0.041225626740947076,1981,3590,227,2,0.044444444444444446,18,45
565,1,0.007633587786259542,60,131,196,3,0.07692307692307693,12,39
3428,35,0.0461133069828722,410,759,309,4,0.06557377049180328,27,61
4066,97,0.10407725321888411,534,932,258,4,0.08,20,50
13548,156,0.05168986083499006,1626,3018,332,3,0.04225352112676056,33,71
11146,134,0.05294350059265113,1413,2531,203,3,0.07317073170731707,14,41
10004,119,0.054362722704431245,1130,2189,358,5,0.060240963855421686,41,83
14060,100,0.03221649484536082,1752,3104,147,2,0.0625,11,32
13089,142,0.048763736263736264,1642,2912,343,4,0.0547945205479452,36,73
2974,24,0.03889789303079417,315,617,367,4,0.06153846153846154,25,65
